CODIGO SISTEMA ,CENCO,EAN ,DUN,TIPO PRODUCTOS ,CAP. CAJA,MARCA,CAJA,INSUMO,BOLSA,CODIGO,ALTO (CM),ANCHO (CM),LARGO (CM),PESO (GR)
PLBIO-002,1776009,7805475004149,17805475004146,PLATO 25CM BIOELY 10UN,30,BIOELY,G BIOELY,PLATO BIOELY 25CM / GREAT VALUE,30X35,32X22,28,47,53,7700
BWBIO-001,1776013,7805475003906,17805475003903,BOWL BIOELY 270CC 10UN,30,BIOELY,N BIOELY,BOWL BIOELY 50X6,8B BIOELY,32X22,20,27,38,2400
PLBIO-007,1822963,7805475005849,17805475005846,PLATO 17CM VERDE BIOELY 10 UN,40,BIOELY,ORIGEN,X,X,X,20,"36,5",52,4750
PLBIO-008,1822964,7805475005856,17805475005853,PLATO 25CM VERDE BIOELY 10 UN,30,BIOELY,ORIGEN,X,X,X,"27,5",47,52,7900
BWBIO-004,1822968,7805475005863,17805475005860,BOWL 270CC BIOELY VERDE 10 UN,30,BIOELY,ORIGEN,X,X,X,20,27,38,2400
PLBIO-005,1822971,7805475005764,17805475005761,PLATO 17CM ROSADO BIOELY 10 UN,40,BIOELY,ORIGEN,X,X,X,"19,5","37,5",52,4650
PLBIO-006,1822972,7805475005771,17805475005778,PLATO 25CM ROSADO BIOELY 10 UN,30,BIOELY,ORIGEN,X,X,X,27,27,35,6950
BWBIO-003,1822976,7805475005788,17805475005785,BOWL 270CC BIOELY ROSADO 10 UN,30,BIOELY,ORIGEN,X,X,X,20,27,38,2600
DRBIO-00633,1841253,7805475006334,,PLATO CAÑA AZU 17CM 6UN BIO DROP IT,90,BIO DROP IT,1/K60/ORIGEN,PLATO 17CM ECO MERKAT CAÑA AZUCAR,20X25,32X22,20,37,40,5900
DRBIO-00634,1841254,7805475006341,17805475006348,PLATO CAÑA AZU 22CM 6UN BIO DROP IT,90,BIO DROP IT,1/K60/ORIGEN,PLATP 23 CM CAÑA AZUCAR TUGOU,30X35,32X22,25,38,48,8950
DRBIO-00635,1841255,7805475006358,,PLATO CAÑA AZU 17CM 20UN BIO DROP IT,26,BIO DROP IT,1/K60/ORIGEN,PLATO 17CM ECO MERKAT CAÑA AZUCAR,20X25,32X22,20,37,38,5200
DRBIO-00636,1841256,7805475006365,,PLATO CAÑA AZU 22CM 20UN BIO DROP IT,18,BIO DROP IT,1/K60/ORIGEN,PLATP 23 CM CAÑA AZUCAR TUGOU,30X35,32X22,"34,5","23,5",47,5900
DRBIO-00647,1841272,7805475006471,17805475006478,BOWL CAÑA AZUCAR 500 ML 3 UN BIO DROP IT,100,BIO DROP IT,ORIGEN/1,BOWL 500ML/430ML BIO WORLD ,20X25,80X50,19,34,49,4250
ELY-20021,283465,7805475200084,,SORPRESA N° 4 CUMPLEAÑOS ELY,24,ELY,MICRO D,MAQUILA EXTERNA,8X19,32X22,30,25,13,350
ELY-20022,283466,7805475200091,,SORPRESA N° 5 CUMPLEAÑOS ELY,12,ELY,MICRO D,MAQUILA EXTERNA,8X19,32X22,14,20,27,600
ELY-20024,780668,7805475002558,17805475002555,SORPRESA SURTIDO 20UN,24,ELY,CERO,MAQUILA EXTERNA,18X20 ,32X22,26,25,38,1900
ELY-20026,283724,7805475000578,,VASO DESECHABLE ELY GLOBOS 200CC 6UN,12,ELY,ORIGEN,X,X,X,26,25,38,650
CT-ELY-INFAN02,1758067,7805475004170,17805475004177,VASO INFANTIL ELY 10UN,24,ELY,ORIGEN,X,X,X,30,25,30,1550
CT-01006022,1237206,7896211832126,,VASO BLANCO 180CC 6UN DROP IT!,120,DROP IT,G DROP IT/ORIGEN,VASO BLANCO 7OZ CHEERS/BOOP,15X25,32X22,38,27,41,3050
CT-01006023,1237207,7896211832188,,VASO TRANSP. 180CC 6UN DROP IT!,120,DROP IT,G DROP IT/ORIGEN,VASO TRANSP 7OZ CHEERS/BOOP,15X25,32X22,38,27,41,3150
CT-01006024,1237208,7896211834120,,VASO BLANCO 300CC 6UN DROP IT!,98,DROP IT,G DROP IT/ORIGEN,VASO BLANCO 10OZ BOOP,15X35,32X22,38,27,41,3350
CT-01006025,1237209,7896211832249,,VASO TRANSP DROP IT! 300CC 6UN,98,DROP IT,G DROP IT/ORIGEN,VASO TRANSP 10OZ BOOP,15X35,32X22,38,23,41,3500
CT-01006026,1237210,7896211832423,,VASO TRANSP DROP IT! 500CC 6UN,40,DROP IT,G DROP IT/ORIGEN,VASO TRANSP.16OZ BOOP,17X35,32X22,31,20,40,2350
DR82243,1237211,7896211822431,,VASO TERMICO 240CC 6UN DROP IT!,36,DROP IT,G DROP IT,VASO DARNEL 8OZ,15X35,32X22,38,27,41,960
CT-01006005,1237544,7896211800699,,VASO TRANSP 500CC 6UN DROP IT!,32,DROP IT,G DROP IT/ORIGEN,VASO TRANSP.16OZ BOOP,17X35,32X22,30,20,40,1850
CT-01006013,1237552,7896211813118,,VASO TRANSP 180CC 20UN DROP IT!,33,DROP IT,G DROP IT/ORIGEN,VASO TRANSP. 7OZ CHEERS/BOOP,15X35,32X22,37,21,30,2550
CT-01006015,1237554,7896211830641,,VASO TRANSP 300CC 20UN DROP IT!,28,DROP IT,G DROP IT/ORIGEN,VASO TRANSP. 10PZ BOOP/ DROP IT ,17X35,32X22,38,27,41,3650
DR81312,1237555,7896211813125,,VASO TERMICO 240CC 20UN DROP IT!,15,DROP IT,G DROP IT,VASO DARNEL 8OZ,15X35,32X22,38,27,41,1250
EW-WPEA006/07,1534062,7898509281517,,VASO BICOLOR 500 CC,60,ELY,K 60,VASO ROJO 500CC BOOP,17X35,32X22,36,31,54,5600
VSBIO-001,1776006,7805475004064,17805475004061,VASO 350CC BIOELY 10UN,30,BIOELY,N - G BIOELY ,VASO 350 BIOELY 50X20,17X35,32X22,37,20,46,3800
VSBIO-002,1776007,7805475004071,17805475004078,VASO 500CC BIOELY 10UN,20,BIOELY,N - G BIOELY ,VASO 500 BIOELY 50X10,17X35,32X22,28,"22,5",50,3100
VSBIO-011,1822960,7805475006112,17805475006119,VASO 500CC ROJO BIOELY 10 UN,24,BIOELY,G BIOELY/ORIGEN,VASO 500CC ECO MERKAT/GREAT VALUE,17X35,32X22,11,32,41,3750
VSBIO-007,1822961,7805475005795,17805475005792,VASO 350CC VERDE BIOELY 10 UN,30,BIOELY,ORIGEN,X,X,X,37,29,46,3550
VSBIO-008,1822962,7805475005801,17805475005808,VASO 500CC VERDE BIOELY 10 UN,20,BIOELY,ORIGEN,X,X,X,28,23,51,3050
VSBIO-005,1822969,7805475005719,17805475005716,VASO 350CC ROSADO BIOELY 10 UN,30,BIOELY,ORIGEN,X,X,X,37,29,46,3700
VSBIO-006,1822970,7805475005726,17805475005723,VASO 500CC ROSADO BIOELY 10 UN,20,BIOELY,ORIGEN,X,X,X,37,50,20,2950
VAS00677,1822979,7805475006778,17805475006775,VASO CAFE PLA BIOELY 10OZ 20 UND,12,BIOELY,N - G BIOELY ,VASO 12OZ PLA DISEÑO VERDE (GREEN CUP/IMPORTADO),15X35,32X22,31,36,30,2600
VS-5006805,1822980,7805475006808,17805475006805,TAPA VASO CAFE PLA BIOELY 10-12OZ 20UND,20X36,BIOELY,N - G BIOELY ,,,32X22,30,35,30,1500
VAS00721,1822981,7805475007218,17805475007215,VASO CAFE PLA BIOELY 10OZ 10 UND,27,BIOELY,N - G BIOELY ,VASO 12OZ PLA DISEÑO VERDE (GREEN CUP/IMPORTADO),15X35,32X22,"35,5","35,5",40,3050
DRBIO-00638,1841260,7805475006389,17805475006386,VASO CAFE PLA 240CC 6UN BIO DROP IT,120,X,ORIGEN/4 ANTIGUA,VASO 8OZ BLANCO COMPOSTABLE (GREEN CUP),15X30,32X22,53,43,50,6450
DRBIO-00653,1841261,7805475006532,17805475006539,VASO TRANSP 280CC 6 UN PLA BIO DROP IT,98,X,ORIGEN,X,X,X,57,28,56,4700
DRBIO-00656,1841262,7805475006563,17805475006560,VASO TRANSP 500CC 6UN PLA BIO DROP IT,40,X,ORIGEN,X,X,X,39,39,47,3600
DRBIO-00654,1841263,7805475006549,17805475006546,VASO TRANSP 280CC 20 UN PLA BIO DROP IT,30,X,ORIGEN,X,X,X,23,45,49,4450
